EAN;EK;sofortLieferbar;lieferbarAb;Menge;Lebenszyklus;Nachfolger
4007134008229;5.9;1;;;;
4007134008441;36.6;1;;;;
4007134008694;11.5;1;;;;
4007134008748;97;1;;;;
4007134009202;20.3;1;;;;
4007134009233;97;1;;;;
4007134009264;21.9;1;;;;
4007134009271;24.6;1;;;;
4007134009288;28;1;;;;
4007134009820;7.4;0;;;;
4007134009875;11.3;1;;;;
4007134009882;12.8;1;;;;
4007134009899;13.8;1;;;;
4007134009905;14.5;1;;;;
4007134009974;145.9;1;;;;
4007134010369;18.4;1;;;;
4007134010437;19.6;1;;;;
4007134010574;24.1;1;;;;
4007134010796;34.2;1;;;;
4007134010802;43.2;1;;;;
4007134010819;13;1;;;;
4007134010826;17.1;1;;;;
4007134010833;30.1;1;;;;
4007134010840;22;1;;;;
4007134010871;26;1;;;;
4007134010888;30.4;1;;;;
4007134010925;53;1;;;;
4007134010932;58.5;1;;;;
4007134010949;66.9;1;;;;
4007134010956;75.2;1;;;;
4007134010963;96.2;1;;;;
4007134011434;101.25;1;;;;
4007134011496;64.5;1;;;;
4007134011502;41.8;1;;;;
4007134011519;77.5;0;;;;
4007134011540;92.5;1;;;;
4007134011557;92.5;1;;;;
4007134011564;34.2;1;;;;
4007134011588;31.7;0;;;;
4007134011601;31.7;1;;;;
4007134011618;22;0;;;;
4007134011656;30.3;1;;;;
4007134011663;33.7;1;;;;
4007134011670;40.6;1;;;;
4007134011786;20.7;1;;;;
4007134011854;29.2;0;;;;
4007134011861;33.4;0;;;;
4007134011878;37.7;1;;;;
4007134011885;37.6;0;;;;
4007134011892;41.8;0;;;;
4007134011908;11.4;1;;;;
4007134011915;40.8;1;;;;
4007134012165;111.6;1;;;;
4007134012172;145.5;1;;;;
4007134012189;173.3;0;;;;
4007134012196;196.6;1;;;;
4007134012295;6.3;0;;;;
4007134012325;23.9;1;;;;
4007134012424;14.7;1;;;;
4007134012462;23.6;1;;;;
4007134012479;33.7;1;;;;
4007134012509;9.4;1;;;;
4007134012516;10.1;1;;;;
4007134012523;22.2;1;;;;
4007134012547;28.9;0;;;;
4007134012622;14.1;1;;;;
4007134012639;17.5;1;;;;
4007134012646;66.6;1;;;;
4007134012653;66.6;1;;;;
4007134012677;30.5;1;;;;
4007134012684;21.8;1;;;;
4007134012691;9.4;1;;;;
4007134012707;9.4;1;;;;
4007134012721;9.4;1;;;;
4007134012738;11.5;1;;;;
4007134012745;12.7;1;;;;
4007134012752;48.9;1;;;;
4007134012776;30.3;0;;;;
4007134012783;37;1;;;;
4007134012790;40.5;1;;;;
4007134012806;50.5;1;;;;
4007134012813;53.2;1;;;;
4007134012820;53.2;0;;;;
4007134012837;73.3;1;;;;
4007134012868;57;1;;;;
4007134013100;13.5;1;;;;
4007134013117;15.4;1;;;;
4007134013131;16.1;1;;;;
4007134013155;15.3;1;;;;
4007134013179;15.95;0;;;;
4007134013186;21.2;1;;;;
4007134013193;23.7;1;;;;
4007134013308;34.51;1;;;;
4007134013315;66.6;1;;;;
4007134013322;88.6;0;;;;
4007134013339;133.8;1;;;;
4007134013353;22.4;1;;;;
4007134013407;8.2;1;;;;
4007134013438;12.2;1;;;;
4007134013599;23.5;1;;;;
4007134013636;20.1;1;;;;
4007134013643;23.65;1;;;;
4007134013650;5.2;1;;;;
4007134013742;46.4;0;;;;
4007134013759;43.9;0;;;;
4007134013803;8.1;1;;;;
4007134013810;30.5;1;;;;
4007134013827;30.5;1;;;;
4007134013834;30.5;1;;;;
4007134013841;22.5;1;;;;
4007134013858;22.5;1;;;;
4007134013865;22.5;1;;;;
4007134013872;22.5;1;;;;
4007134013971;10.75;1;;;;
4007134013995;7.4;1;;;;
4007134014008;8.1;1;;;;
4007134014015;8.75;1;;;;
4007134014022;12.45;1;;;;
4007134014039;12.1;1;;;;
4007134014046;10.45;0;;;;
4007134014053;10.45;1;;;;
4007134014060;12.1;0;;;;
4007134014077;12.1;1;;;;
4007134014084;12.8;1;;;;
4007134014091;12.8;1;;;;
4007134014107;12.8;1;;;;
4007134014114;13.8;1;;;;
4007134014121;13.8;1;;;;
4007134014138;13.8;1;;;;
4007134014145;12.7;1;;;;
4007134014152;12.7;1;;;;
4007134014169;12.7;1;;;;
4007134014176;4.07;1;;;;
4007134014183;4.07;0;;;;
4007134014206;40.75;1;;;;
4007134014213;9.8;1;;;;
4007134014220;12.2;1;;;;
4007134014299;7.3;1;;;;
4007134014329;33.65;1;;;;
4007134014336;40.4;1;;;;
4007134014343;31.6;1;;;;
4007134014350;30.25;1;;;;
4007134014367;36.97;1;;;;
4007134014374;40.33;1;;;;
4007134014381;10.45;1;;;;
4007134014398;12.1;1;;;;
4007134014404;18.85;1;;;;
4007134014428;8.1;1;;;;
4007134014435;21.55;1;;;;
4007134014459;8.75;1;;;;
4007134014466;40.35;1;;;;
4007134014480;18.15;1;;;;
4007134014497;8.1;0;;;;
4007134014503;8.75;1;;;;
4007134014510;10.1;0;;;;
4007134014527;13.45;0;;;;
4007134014572;37;1;;;;
4007134014589;40.4;1;;;;
4007134014718;47.05;0;;;;
4007134014831;13.85;0;;;;
4007134015128;12.2;0;;;;
4007134015135;12.2;0;;;;
4007134015142;12.2;1;;;;
4007134015159;12.2;1;;;;
4007134015166;12.2;1;;;;
4007134015173;12.2;1;;;;
4007134015180;12.2;1;;;;
4007134015197;12.2;0;;;;
4007134015258;8.3;1;;;;
4007134015272;8.3;1;;;;
4007134015302;8.3;1;;;;
4007134015333;14.3;1;;;;
4007134015364;14.3;1;;;;
4007134015395;14.3;1;;;;
4007134015647;46.2;1;;;;
4007134015654;46.2;1;;;;
4007134015661;54.6;1;;;;
4007134015678;54.6;1;;;;
4007134015791;250;1;;;;
4007134015807;250;1;;;;
4007134015814;149.7;1;;;;
4007134015821;149.7;1;;;;
4007134015838;83.5;1;;;;
4007134015845;66.8;1;;;;
4007134015852;41.7;1;;;;
4007134015869;168;1;;;;
4007134015876;83.5;1;;;;
4007134015883;21.7;1;;;;
4007134015890;21.7;1;;;;
4007134015906;21.7;1;;;;
4007134015913;21.7;1;;;;
4007134015920;21.7;1;;;;
4007134015937;8.5;1;;;;
